Unnamed: 0,OID_,Elevation,Latitude,Longitude,Interpolated_Tmean(C),Adjusted_Tmean(C)
0,148,72.0,-47.275,167.475,11.317641146481037,10.885641146481037
1,153,244.0,-47.275,167.525,11.287699469248764,9.823699469248764
2,156,49.0,-47.225,167.475,11.412742117187008,11.118742117187008
3,165,326.0,-47.225,167.525,11.385808406514116,9.429808406514116
4,174,36.0,-47.225,167.575,11.344601927674375,11.128601927674376
5,183,127.0,-47.175,167.575,11.445473629748449,10.683473629748448
6,272,179.0,-47.175,167.625,11.39521357708145,10.32121357708145
7,278,24.0,-47.175,167.675,11.33370389137417,11.18970389137417
8,285,104.0,-47.175,167.725,11.262281688628718,10.638281688628718
9,403,141.0,-47.125,167.625,11.503173432429321,10.657173432429321
10,405,259.0,-47.125,167.675,11.444759735721163,9.890759735721163
11,413,184.0,-47.125,167.725,11.375156314228661,10.271156314228662
12,293,124.0,-47.175,167.775,11.218,10.474
13,301,165.0,-47.175,167.825,11.218,10.228
14,309,0.0,-47.175,167.875,11.218,11.218
15,415,252.0,-47.125,167.775,11.295543536543846,9.783543536543846
16,418,256.0,-47.125,167.825,11.218,9.682
17,422,293.0,-47.125,167.875,11.218,9.46
18,425,75.0,-47.125,167.925,11.218,10.768
19,430,119.0,-47.125,167.975,11.218,10.504
20,436,61.0,-47.125,168.025,11.218,10.852
21,449,204.0,-47.075,167.625,11.61717922927346,10.39317922927346
22,456,363.0,-47.075,167.675,11.563373394776136,9.385373394776135
23,549,158.0,-47.075,167.725,11.49720863753464,10.54920863753464
24,667,380.0,-47.025,167.725,11.629985406645574,9.349985406645574
25,906,112.0,-46.975,167.725,11.774549204623327,11.102549204623326
26,556,176.0,-47.075,167.775,11.419555745087564,10.363555745087563
27,562,506.0,-47.075,167.825,11.331565526896156,8.295565526896157
28,568,258.0,-47.075,167.875,11.234843890415505,9.686843890415505
29,672,192.0,-47.025,167.775,11.556209539645351,10.404209539645352
30,677,419.0,-47.025,167.825,11.470335180172697,8.956335180172697
31,682,402.0,-47.025,167.875,11.373587150359526,8.961587150359527
32,944,100.0,-46.975,167.775,11.70692896435503,11.10692896435503
33,945,218.0,-46.975,167.825,11.625611569848843,10.317611569848843
34,946,59.0,-46.975,167.875,11.531321596703492,11.177321596703493
35,950,15.0,-46.925,167.775,11.872361864778213,11.782361864778213
36,951,60.0,-46.925,167.825,11.798549220198765,11.438549220198766
37,952,262.0,-46.925,167.875,11.709990951931104,10.137990951931105
38,574,183.0,-47.075,167.925,11.218,10.12
39,580,36.0,-47.075,167.975,11.218,11.002
40,652,61.0,-47.075,168.025,11.218,10.852
41,656,65.0,-47.075,168.075,11.218,10.828
42,687,299.0,-47.025,167.925,11.267914129188284,9.473914129188284
43,692,278.0,-47.025,167.975,11.218,9.55
44,697,165.0,-47.025,168.025,11.218,10.228
45,702,107.0,-47.025,168.075,11.218,10.576
46,947,462.0,-46.975,167.975,11.310545005020685,8.538545005020685
47,948,252.0,-46.975,168.025,11.218,9.706
48,949,156.0,-46.975,168.075,11.218,10.282
49,953,274.0,-46.925,167.925,11.607481658225879,9.963481658225879
50,954,34.0,-46.925,167.975,11.492795055382885,11.288795055382884
51,662,63.0,-47.075,168.125,11.218,10.84
52,767,140.0,-47.025,168.125,11.218,10.378
53,858,121.0,-47.025,168.175,11.218,10.492
54,968,161.0,-46.775,167.625,12.453399600228295,11.487399600228295
55,969,177.0,-46.775,167.725,12.46262542787008,11.40062542787008
56,955,228.0,-46.875,167.775,12.052062198519707,10.684062198519706
57,956,54.0,-46.875,167.825,11.989002670277841,11.665002670277842
58,957,20.0,-46.875,167.875,11.909975884133019,11.78997588413302
59,962,70.0,-46.825,167.775,12.244290515664034,11.824290515664034
60,963,19.0,-46.825,167.825,12.195183646399528,12.081183646399527
61,964,16.0,-46.825,167.875,12.129477959824726,12.033477959824726
62,970,38.0,-46.775,167.775,12.446007164311595,12.218007164311596
63,971,39.0,-46.775,167.825,12.413639071281068,12.179639071281068
64,972,96.0,-46.775,167.875,12.364491627085954,11.788491627085953
65,958,20.0,-46.875,167.925,11.815263270866126,11.695263270866127
66,959,304.0,-46.875,167.975,11.70608899439685,9.88208899439685
67,960,121.0,-46.875,168.025,11.585316952434368,10.85931695243437
68,961,112.0,-46.875,168.075,11.458882039645687,10.786882039645686
69,965,26.0,-46.825,167.925,12.047034025890753,11.891034025890752
70,966,263.0,-46.825,167.975,11.94867721258197,10.37067721258197
71,967,230.0,-46.825,168.025,11.8370046998607,10.4570046998607
72,973,238.0,-46.775,167.925,12.297927960054949,10.869927960054948
73,974,164.0,-46.775,167.975,12.21411265223287,11.23011265223287
74,975,72.0,-46.725,167.725,12.651357820956036,12.219357820956036
75,976,218.0,-46.725,167.775,12.65305740549229,11.345057405492291
76,977,149.0,-46.725,167.825,12.639544933568686,11.745544933568686
