Unnamed: 0,OID_,Elevation,Latitude,Longitude,Interpolated_Tmean(C),Adjusted_Tmean(C)
0,148,72.0,-47.275,167.475,10.012,9.58
1,153,244.0,-47.275,167.525,10.012,8.548
2,156,49.0,-47.225,167.475,10.012,9.718
3,165,326.0,-47.225,167.525,10.012,8.056000000000001
4,174,36.0,-47.225,167.575,10.012,9.796000000000001
5,183,127.0,-47.175,167.575,10.012,9.25
6,272,179.0,-47.175,167.625,10.012,8.938
7,278,24.0,-47.175,167.675,10.012,9.868
8,285,104.0,-47.175,167.725,10.012,9.388
9,403,141.0,-47.125,167.625,10.012,9.166
10,405,259.0,-47.125,167.675,10.012,8.458
11,413,184.0,-47.125,167.725,10.012,8.908000000000001
12,293,124.0,-47.175,167.775,10.012,9.268
13,301,165.0,-47.175,167.825,10.012,9.022
14,309,0.0,-47.175,167.875,10.012,10.012
15,415,252.0,-47.125,167.775,10.012,8.5
16,418,256.0,-47.125,167.825,10.012,8.476
17,422,293.0,-47.125,167.875,10.012,8.254000000000001
18,425,75.0,-47.125,167.925,10.012,9.562000000000001
19,430,119.0,-47.125,167.975,10.012,9.298
20,436,61.0,-47.125,168.025,10.012,9.646
21,449,204.0,-47.075,167.625,10.012,8.788
22,456,363.0,-47.075,167.675,10.012,7.8340000000000005
23,549,158.0,-47.075,167.725,10.012,9.064
24,667,380.0,-47.025,167.725,10.012,7.732000000000001
25,906,112.0,-46.975,167.725,10.012,9.34
26,556,176.0,-47.075,167.775,10.012,8.956
27,562,506.0,-47.075,167.825,10.012,6.976000000000001
28,568,258.0,-47.075,167.875,10.012,8.464
29,672,192.0,-47.025,167.775,10.012,8.860000000000001
30,677,419.0,-47.025,167.825,10.012,7.498
31,682,402.0,-47.025,167.875,10.012,7.600000000000001
32,944,100.0,-46.975,167.775,10.012,9.412
33,945,218.0,-46.975,167.825,10.012,8.704
34,946,59.0,-46.975,167.875,10.012,9.658000000000001
35,950,15.0,-46.925,167.775,10.012,9.922
36,951,60.0,-46.925,167.825,10.012,9.652000000000001
37,952,262.0,-46.925,167.875,10.012,8.440000000000001
38,574,183.0,-47.075,167.925,10.012,8.914
39,580,36.0,-47.075,167.975,10.012,9.796000000000001
40,652,61.0,-47.075,168.025,10.012,9.646
41,656,65.0,-47.075,168.075,10.012,9.622
42,687,299.0,-47.025,167.925,10.012,8.218
43,692,278.0,-47.025,167.975,10.012,8.344000000000001
44,697,165.0,-47.025,168.025,10.012,9.022
45,702,107.0,-47.025,168.075,10.012,9.370000000000001
46,947,462.0,-46.975,167.975,10.012,7.24
47,948,252.0,-46.975,168.025,10.012,8.5
48,949,156.0,-46.975,168.075,10.012,9.076
49,953,274.0,-46.925,167.925,10.012,8.368
50,954,34.0,-46.925,167.975,10.012,9.808
51,662,63.0,-47.075,168.125,10.111733342462685,9.733733342462685
52,767,140.0,-47.025,168.125,10.084283114410937,9.244283114410937
53,858,121.0,-47.025,168.175,10.348081487434683,9.622081487434684
54,968,161.0,-46.775,167.625,10.019059335696511,9.053059335696512
55,969,177.0,-46.775,167.725,10.012,8.950000000000001
56,955,228.0,-46.875,167.775,10.012,8.644
57,956,54.0,-46.875,167.825,10.012,9.688
58,957,20.0,-46.875,167.875,10.012,9.892000000000001
59,962,70.0,-46.825,167.775,10.012,9.592
60,963,19.0,-46.825,167.825,10.012,9.898
61,964,16.0,-46.825,167.875,10.012,9.916
62,970,38.0,-46.775,167.775,10.012,9.784
63,971,39.0,-46.775,167.825,10.012,9.778
64,972,96.0,-46.775,167.875,10.012,9.436
65,958,20.0,-46.875,167.925,10.012,9.892000000000001
66,959,304.0,-46.875,167.975,10.012,8.188
67,960,121.0,-46.875,168.025,10.012,9.286000000000001
68,961,112.0,-46.875,168.075,10.012,9.34
69,965,26.0,-46.825,167.925,10.012,9.856
70,966,263.0,-46.825,167.975,10.012,8.434000000000001
71,967,230.0,-46.825,168.025,10.012,8.632000000000001
72,973,238.0,-46.775,167.925,10.012,8.584
73,974,164.0,-46.775,167.975,10.012,9.028
74,975,72.0,-46.725,167.725,10.012,9.58
75,976,218.0,-46.725,167.775,10.012,8.704
76,977,149.0,-46.725,167.825,10.012,9.118
77,978,403.0,-46.725,167.875,10.012,7.594
78,979,444.0,-46.725,167.925,10.012,7.348000000000001
79,989,8.0,-46.575,168.525,13.055583854147699,13.007583854147699
80,990,7.0,-46.575,168.575,13.180107434542151,13.138107434542151
