Unnamed: 0,OID_,Elevation,Latitude,Longitude,Interpolated_Tmean(C),Adjusted_Tmean(C)
0,148,72.0,-47.275,167.475,12.35762522090954,11.92562522090954
1,153,244.0,-47.275,167.525,12.37003598953379,10.90603598953379
2,156,49.0,-47.225,167.475,12.403283144754823,12.109283144754823
3,165,326.0,-47.225,167.525,12.413043754197133,10.457043754197134
4,174,36.0,-47.225,167.575,12.422993167376262,12.206993167376263
5,183,127.0,-47.175,167.575,12.461578193502646,11.699578193502646
6,272,179.0,-47.175,167.625,12.4689645424005,11.3949645424005
7,278,24.0,-47.175,167.675,12.477358278807515,12.333358278807514
8,285,104.0,-47.175,167.725,12.487201761421602,11.863201761421601
9,403,141.0,-47.125,167.625,12.502391844245722,11.656391844245722
10,405,259.0,-47.125,167.675,12.507149129483878,10.953149129483878
11,413,184.0,-47.125,167.725,12.513475194333296,11.409475194333297
12,293,124.0,-47.175,167.775,12.498911076709192,11.754911076709192
13,301,165.0,-47.175,167.825,12.512850916435127,11.522850916435127
14,309,0.0,-47.175,167.875,12.529305982501683,12.529305982501683
15,415,252.0,-47.125,167.775,12.521888647112064,11.009888647112064
16,418,256.0,-47.125,167.825,12.532863497362996,10.996863497362996
17,422,293.0,-47.125,167.875,12.546793861460174,10.788793861460174
18,425,75.0,-47.125,167.925,12.56395356901703,12.113953569017031
19,430,119.0,-47.125,167.975,12.584455198546493,11.870455198546493
20,436,61.0,-47.125,168.025,12.608218903686065,12.242218903686066
21,449,204.0,-47.075,167.625,12.534082738387951,11.310082738387951
22,456,363.0,-47.075,167.675,12.534556284736027,10.356556284736026
23,549,158.0,-47.075,167.725,12.5366653986639,11.588665398663899
24,667,380.0,-47.025,167.725,12.557040302210225,10.277040302210226
25,906,112.0,-46.975,167.725,12.5750284773967,11.903028477396699
26,556,176.0,-47.075,167.775,12.541045321348065,11.485045321348064
27,562,506.0,-47.075,167.825,12.548300480080798,9.512300480080798
28,568,258.0,-47.075,167.875,12.558963471947209,11.010963471947209
29,672,192.0,-47.025,167.775,12.556538855315011,11.404538855315012
30,677,419.0,-47.025,167.825,12.559180456144531,10.045180456144532
31,682,402.0,-47.025,167.875,12.565666632803186,10.153666632803187
32,944,100.0,-46.975,167.775,12.568690948817675,11.968690948817676
33,945,218.0,-46.975,167.825,12.565677943024639,11.257677943024639
34,946,59.0,-46.975,167.875,12.566885298245325,12.212885298245325
35,950,15.0,-46.925,167.775,12.578047166720353,12.488047166720353
36,951,60.0,-46.925,167.825,12.56820155229434,12.20820155229434
37,952,262.0,-46.925,167.875,12.562829086946294,10.990829086946295
38,574,183.0,-47.075,167.925,12.573443475292152,11.47544347529215
39,580,36.0,-47.075,167.975,12.591966127871274,12.375966127871274
40,652,61.0,-47.075,168.025,12.614514665423485,12.248514665423485
41,656,65.0,-47.075,168.075,12.640799844117282,12.250799844117282
42,687,299.0,-47.025,167.925,12.576586207287619,10.782586207287618
43,692,278.0,-47.025,167.975,12.592335687408195,10.924335687408195
44,697,165.0,-47.025,168.025,12.613021604149253,11.623021604149253
45,702,107.0,-47.025,168.075,12.638368207106396,11.996368207106396
46,947,462.0,-46.975,167.975,12.58503690872385,9.81303690872385
47,948,252.0,-46.975,168.025,12.602951355402183,11.090951355402183
48,949,156.0,-46.975,168.075,12.626708744479402,11.690708744479402
49,953,274.0,-46.925,167.925,12.562996094016853,10.918996094016853
50,954,34.0,-46.925,167.975,12.569640633450035,12.365640633450035
51,662,63.0,-47.075,168.125,12.67030744172007,12.29230744172007
52,767,140.0,-47.025,168.125,12.667730058390589,11.827730058390589
53,858,121.0,-47.025,168.175,12.700360958446254,11.974360958446255
