Unnamed: 0,OID_,Elevation,Latitude,Longitude,Interpolated_Tmean(C),Adjusted_Tmean(C)
0,148,72.0,-47.275,167.475,11.116464666323736,10.684464666323736
1,153,244.0,-47.275,167.525,11.113275291019818,9.649275291019817
2,156,49.0,-47.225,167.475,11.061944713408593,10.767944713408593
3,165,326.0,-47.225,167.525,11.057688535569469,9.101688535569469
4,174,36.0,-47.225,167.575,11.051074858842185,10.835074858842185
5,183,127.0,-47.175,167.575,10.987501147203147,10.225501147203147
6,272,179.0,-47.175,167.625,10.980384489899734,9.906384489899734
7,278,24.0,-47.175,167.675,10.975340628996491,10.831340628996491
8,285,104.0,-47.175,167.725,10.973928959836485,10.349928959836484
9,403,141.0,-47.125,167.625,10.91146988759283,10.06546988759283
10,405,259.0,-47.125,167.675,10.905841260653688,9.351841260653687
11,413,184.0,-47.125,167.725,10.903876250959001,9.799876250959002
12,293,124.0,-47.175,167.775,10.977532274031546,10.233532274031546
13,301,165.0,-47.175,167.825,10.987437262403546,9.997437262403546
14,309,0.0,-47.175,167.875,11.004882630018983,11.004882630018983
15,415,252.0,-47.125,167.775,10.907001485698856,9.395001485698856
16,418,256.0,-47.125,167.825,10.916577570693335,9.380577570693335
17,422,293.0,-47.125,167.875,10.933949635509634,9.175949635509635
18,425,75.0,-47.125,167.925,10.960487725300482,10.510487725300482
19,430,119.0,-47.125,167.975,10.997598175425082,10.283598175425082
20,436,61.0,-47.125,168.025,11.046658995299367,10.680658995299368
21,449,204.0,-47.075,167.625,10.839597096724901,9.615597096724901
22,456,363.0,-47.075,167.675,10.833455159183359,8.655455159183358
23,549,158.0,-47.075,167.725,10.83108699778677,9.88308699778677
24,667,380.0,-47.025,167.725,10.756875383172883,8.476875383172883
25,906,112.0,-46.975,167.725,10.682447563071037,10.010447563071036
26,556,176.0,-47.075,167.775,10.833904710278148,9.777904710278147
27,562,506.0,-47.075,167.825,10.843294174788753,7.807294174788753
28,568,258.0,-47.075,167.875,10.860658222722122,9.312658222722122
29,672,192.0,-47.025,167.775,10.759547666704748,9.607547666704749
30,677,419.0,-47.025,167.825,10.768944753333926,8.254944753333927
31,682,402.0,-47.025,167.875,10.786475669970969,8.37447566997097
32,944,100.0,-46.975,167.775,10.685156221996294,10.085156221996295
33,945,218.0,-46.975,167.825,10.694843406556174,9.386843406556174
34,946,59.0,-46.975,167.875,10.712903835461475,10.358903835461476
35,950,15.0,-46.925,167.775,10.61172601475846,10.52172601475846
36,951,60.0,-46.925,167.825,10.6220468285901,10.262046828590101
37,952,262.0,-46.925,167.875,10.641178857680643,9.069178857680644
38,574,183.0,-47.075,167.925,10.887476651143515,9.789476651143515
39,580,36.0,-47.075,167.975,10.92537145872484,10.70937145872484
40,652,61.0,-47.075,168.025,10.976130462164292,10.610130462164292
41,656,65.0,-47.075,168.075,11.041539614467183,10.651539614467183
42,687,299.0,-47.025,167.925,10.813651360134827,9.019651360134826
43,692,278.0,-47.025,167.975,10.85219906968996,9.18419906968996
44,697,165.0,-47.025,168.025,10.904229304200271,9.914229304200271
45,702,107.0,-47.025,168.075,10.972335030935938,10.330335030935938
46,947,462.0,-46.975,167.975,10.780287756671896,8.008287756671896
47,948,252.0,-46.975,168.025,10.833454813953722,9.321454813953721
48,949,156.0,-46.975,168.075,10.903486050578067,9.967486050578067
49,953,274.0,-46.925,167.925,10.670614914939506,9.026614914939506
50,954,34.0,-46.925,167.975,10.711993527365848,10.507993527365848
51,662,63.0,-47.075,168.125,11.122749008238316,10.744749008238315
52,767,140.0,-47.025,168.125,11.058998897729907,10.218998897729907
53,858,121.0,-47.025,168.175,11.164360684575513,10.438360684575514
54,968,161.0,-46.775,167.625,10.413036025740439,9.44703602574044
55,969,177.0,-46.775,167.725,10.398409908433678,9.336409908433678
56,955,228.0,-46.875,167.775,10.539904589561047,9.171904589561047
57,956,54.0,-46.875,167.825,10.551144029566785,10.227144029566785
58,957,20.0,-46.875,167.875,10.571893877873663,10.451893877873664
59,962,70.0,-46.825,167.775,10.469956109998748,10.049956109998748
60,963,19.0,-46.825,167.825,10.482156714075245,10.368156714075244
61,964,16.0,-46.825,167.875,10.50475796702085,10.40875796702085
62,970,38.0,-46.775,167.775,10.40184494300047,10.17384494300047
63,971,39.0,-46.775,167.825,10.41464349036687,10.18064349036687
64,972,96.0,-46.775,167.875,10.438727015192853,9.862727015192853
65,958,20.0,-46.875,167.925,10.60379173210822,10.483791732108221
66,959,304.0,-46.875,167.975,10.64864357400802,8.82464357400802
67,960,121.0,-46.875,168.025,10.7085935396899,9.982593539689901
68,961,112.0,-46.875,168.075,10.78665922980872,10.11465922980872
69,965,26.0,-46.825,167.925,10.539670869649854,10.383670869649853
70,966,263.0,-46.825,167.975,10.589082847815007,9.011082847815008
71,967,230.0,-46.825,168.025,10.655652094777906,9.275652094777907
72,973,238.0,-46.775,167.925,10.476289448153693,9.048289448153692
73,974,164.0,-46.775,167.975,10.52987001769361,9.54587001769361
74,975,72.0,-46.725,167.725,10.332725378480973,9.900725378480972
75,976,218.0,-46.725,167.775,10.335426226083655,9.027426226083655
76,977,149.0,-46.725,167.825,10.347995625576004,9.453995625576004
77,978,403.0,-46.725,167.875,10.372494886512868,7.954494886512868
78,979,444.0,-46.725,167.925,10.411294708173955,7.747294708173955
79,989,8.0,-46.575,168.525,11.538882826513145,11.490882826513145
80,990,7.0,-46.575,168.575,11.610918896563817,11.568918896563817
81,991,1.0,-46.575,168.625,11.685522709289216,11.679522709289216
82,992,0.0,-46.575,168.675,11.764245718193706,11.764245718193706
83,993,8.0,-46.575,168.775,11.936390666654916,11.888390666654916
84,980,20.0,-46.625,168.875,12.216255214079865,12.096255214079866
85,981,122.0,-46.625,168.925,12.297484409311437,11.565484409311438
86,982,94.0,-46.625,168.975,12.375046377041144,11.811046377041144
87,994,19.0,-46.575,168.825,12.029325502415304,11.915325502415303
88,995,39.0,-46.575,168.875,12.125302415181068,11.891302415181068
89,996,51.0,-46.575,168.925,12.222133233546629,11.91613323354663
90,997,194.0,-46.575,168.975,12.31671845013625,11.15271845013625
91,983,20.0,-46.625,169.025,12.445293310622219,12.32529331062222
92,984,141.0,-46.625,169.075,12.503968301942223,11.657968301942223
93,985,61.0,-46.625,169.125,12.546388776943786,12.180388776943786
94,998,276.0,-46.575,169.025,12.405041106030694,10.749041106030694
95,999,243.0,-46.575,169.075,12.482236756637576,11.024236756637576
96,1000,71.0,-46.575,169.125,12.542759014802868,12.116759014802868
97,29,116.0,-46.575,169.175,12.580669346250943,11.884669346250943
98,32,222.0,-46.575,169.225,12.590091812249739,11.258091812249738
99,35,45.0,-46.575,169.275,12.565869359328644,12.295869359328645
100,38,167.0,-46.575,169.325,12.504412272450281,11.50241227245028
