Unnamed: 0,OID_,Elevation,Latitude,Longitude,Interpolated_Tmean(C),Adjusted_Tmean(C)
0,148,72.0,-47.275,167.475,13.892,13.459999999999999
1,153,244.0,-47.275,167.525,13.892,12.427999999999999
2,156,49.0,-47.225,167.475,13.892,13.597999999999999
3,165,326.0,-47.225,167.525,13.924165361138876,11.968165361138876
4,174,36.0,-47.225,167.575,14.051051781279966,13.835051781279967
5,183,127.0,-47.175,167.575,14.187837787423632,13.425837787423632
6,272,179.0,-47.175,167.625,14.306855725058995,13.232855725058995
7,278,24.0,-47.175,167.675,14.415747323939286,14.271747323939286
8,285,104.0,-47.175,167.725,14.514162526036671,13.89016252603667
9,403,141.0,-47.125,167.625,14.441095111775212,13.595095111775212
10,405,259.0,-47.125,167.675,14.551355154966586,12.997355154966586
11,413,184.0,-47.125,167.725,14.650913198565831,13.546913198565832
12,293,124.0,-47.175,167.775,14.601736991848156,13.857736991848157
13,301,165.0,-47.175,167.825,14.678074833325809,13.688074833325809
14,309,0.0,-47.175,167.875,14.742730630510778,14.742730630510778
15,415,252.0,-47.125,167.775,14.739422522972745,13.227422522972745
16,418,256.0,-47.125,167.825,14.816502389498055,13.280502389498055
17,422,293.0,-47.125,167.875,14.881705715146381,13.123705715146382
18,425,75.0,-47.125,167.925,14.93448390114645,14.48448390114645
19,430,119.0,-47.125,167.975,14.974164922437922,14.260164922437921
20,436,61.0,-47.125,168.025,14.999983775487635,14.633983775487636
21,449,204.0,-47.075,167.625,14.570907803812588,13.346907803812588
22,456,363.0,-47.075,167.675,14.682350959439646,12.504350959439645
23,549,158.0,-47.075,167.725,14.782825502421474,13.834825502421474
24,667,380.0,-47.025,167.725,14.909640563499124,12.629640563499125
25,906,112.0,-46.975,167.725,15.031257239148545,14.359257239148544
26,556,176.0,-47.075,167.775,14.872017551657336,13.816017551657335
27,562,506.0,-47.075,167.825,14.949588621399016,11.913588621399017
28,568,258.0,-47.075,167.875,15.015131564927287,13.467131564927287
29,672,192.0,-47.025,167.775,14.999123888512258,13.84712388851226
30,677,419.0,-47.025,167.825,15.076748853556637,12.562748853556638
31,682,402.0,-47.025,167.875,15.142191251346958,12.730191251346959
32,944,100.0,-46.975,167.775,15.120504597180116,14.520504597180116
33,945,218.0,-46.975,167.825,15.197539440974651,13.889539440974652
34,946,59.0,-46.975,167.875,15.262142540799687,14.908142540799687
35,950,15.0,-46.925,167.775,15.236201586907555,15.146201586907555
36,951,60.0,-46.925,167.825,15.3118308596313,14.9518308596313
37,952,262.0,-46.925,167.875,15.374563039833447,13.802563039833448
38,574,183.0,-47.075,167.925,15.068109025902231,13.97010902590223
39,580,36.0,-47.075,167.975,15.107780602971616,14.891780602971616
40,652,61.0,-47.075,168.025,15.13315561592026,14.76715561592026
41,656,65.0,-47.075,168.075,15.143088069482474,14.753088069482473
42,687,299.0,-47.025,167.925,15.19499972891208,13.40099972891208
43,692,278.0,-47.025,167.975,15.234473452786915,13.566473452786916
44,697,165.0,-47.025,168.025,15.25949257445609,14.26949257445609
