Unnamed: 0,OID_,Elevation,Latitude,Longitude,Interpolated_Tmean(C),Adjusted_Tmean(C)
0,148,72.0,-47.275,167.475,12.741631415497977,12.309631415497977
1,153,244.0,-47.275,167.525,12.815172812959645,11.351172812959645
2,156,49.0,-47.225,167.475,12.87515782227274,12.58115782227274
3,165,326.0,-47.225,167.525,12.947866310365498,10.991866310365499
4,174,36.0,-47.225,167.575,13.015247473260388,12.799247473260388
5,183,127.0,-47.175,167.575,13.149831884948071,12.38783188494807
6,272,179.0,-47.175,167.625,13.210291263414547,12.136291263414547
7,278,24.0,-47.175,167.675,13.264609323407058,13.120609323407058
8,285,104.0,-47.175,167.725,13.31267555442173,12.68867555442173
9,403,141.0,-47.125,167.625,13.346819569880608,12.500819569880608
10,405,259.0,-47.125,167.675,13.399574979732279,11.845574979732278
11,413,184.0,-47.125,167.725,13.445554433448706,12.341554433448707
12,293,124.0,-47.175,167.775,13.354450234561227,12.610450234561227
13,301,165.0,-47.175,167.825,13.38996845955262,12.39996845955262
14,309,0.0,-47.175,167.875,13.419348979834467,13.419348979834467
15,415,252.0,-47.125,167.775,13.484656461281702,11.972656461281701
16,418,256.0,-47.125,167.825,13.516849461768288,11.980849461768289
17,422,293.0,-47.125,167.875,13.542176670162007,11.784176670162008
18,425,75.0,-47.125,167.925,13.560763332992792,13.110763332992793
19,430,119.0,-47.125,167.975,13.572836726496462,12.858836726496461
20,436,61.0,-47.125,168.025,13.578787595033646,13.212787595033646
21,449,204.0,-47.075,167.625,13.486687046650331,12.262687046650331
22,456,363.0,-47.075,167.675,13.538179122726433,11.360179122726432
23,549,158.0,-47.075,167.725,13.58234081347473,12.63434081347473
24,667,380.0,-47.025,167.725,13.723182235262357,11.443182235262357
25,906,112.0,-46.975,167.725,13.868250290688593,13.196250290688592
26,556,176.0,-47.075,167.775,13.61900520598283,12.56300520598283
27,562,506.0,-47.075,167.825,13.648072163807228,10.612072163807229
28,568,258.0,-47.075,167.875,13.669512404478155,12.121512404478155
29,672,192.0,-47.025,167.775,13.757686904573347,12.605686904573348
30,677,419.0,-47.025,167.825,13.78385047253687,11.26985047253687
31,682,402.0,-47.025,167.875,13.801570266310591,11.389570266310592
32,944,100.0,-46.975,167.775,13.900931621959899,13.300931621959899
33,945,218.0,-46.975,167.825,13.92444594274275,12.61644594274275
34,946,59.0,-46.975,167.875,13.938594486098737,13.584594486098737
35,950,15.0,-46.925,167.775,14.04905508668162,13.95905508668162
36,951,60.0,-46.925,167.825,14.07025594386505,13.71025594386505
37,952,262.0,-46.925,167.875,14.081008583598305,12.509008583598305
38,574,183.0,-47.075,167.925,13.68336423340952,12.58536423340952
39,580,36.0,-47.075,167.975,13.689725659030955,13.473725659030956
40,652,61.0,-47.075,168.025,13.688768294116016,13.322768294116017
41,656,65.0,-47.075,168.075,13.680865802103654,13.290865802103653
42,687,299.0,-47.025,167.925,13.810814343567472,12.016814343567471
43,692,278.0,-47.025,167.975,13.811589776887558,12.14358977688756
44,697,165.0,-47.025,168.025,13.803875603480265,12.813875603480264
45,702,107.0,-47.025,168.075,13.787592061038595,13.145592061038595
46,947,462.0,-46.975,167.975,13.938441849080846,11.166441849080845
47,948,252.0,-46.975,168.025,13.924030184803996,12.412030184803996
48,949,156.0,-46.975,168.075,13.89961991889868,12.96361991889868
49,953,274.0,-46.925,167.925,14.081065434089396,12.437065434089396
50,954,34.0,-46.925,167.975,14.070302565698512,13.866302565698511
51,662,63.0,-47.075,168.125,13.667010445555206,13.289010445555206
52,767,140.0,-47.025,168.125,13.763006650551688,12.923006650551688
53,858,121.0,-47.025,168.175,13.73218786448706,13.00618786448706
