Unnamed: 0,OID_,Elevation,Latitude,Longitude,Interpolated_Tmean(C),Adjusted_Tmean(C)
0,148,72.0,-47.275,167.475,16.085079423966818,15.653079423966817
1,153,244.0,-47.275,167.525,15.949957280303352,14.485957280303351
2,156,49.0,-47.225,167.475,15.933554354705848,15.639554354705847
3,165,326.0,-47.225,167.525,15.797983128810301,13.841983128810302
4,174,36.0,-47.225,167.575,15.643824036116712,15.427824036116712
5,183,127.0,-47.175,167.575,15.479352954425849,14.717352954425849
6,272,179.0,-47.175,167.625,15.31693664030172,14.24293664030172
7,278,24.0,-47.175,167.675,15.152377545600757,15.008377545600757
8,285,104.0,-47.175,167.725,14.992037060437724,14.368037060437723
9,403,141.0,-47.125,167.625,15.152076198603027,14.306076198603026
10,405,259.0,-47.125,167.675,14.988485421286896,13.434485421286896
11,413,184.0,-47.125,167.725,14.827874177251942,13.723874177251943
12,293,124.0,-47.175,167.775,14.841834722086787,14.097834722086787
13,301,165.0,-47.175,167.825,14.707625773269683,13.717625773269683
14,309,0.0,-47.175,167.875,14.595457225339487,14.595457225339487
15,415,252.0,-47.125,167.775,14.676127400947735,13.164127400947734
16,418,256.0,-47.125,167.825,14.539185880683362,13.003185880683363
17,422,293.0,-47.125,167.875,14.423329891287722,12.665329891287723
18,425,75.0,-47.125,167.925,14.33543147193268,13.88543147193268
19,430,119.0,-47.125,167.975,14.28309212566819,13.56909212566819
20,436,61.0,-47.125,168.025,14.274464906658977,13.908464906658978
21,449,204.0,-47.075,167.625,14.993248614249751,13.76924861424975
22,456,363.0,-47.075,167.675,14.832594833802432,12.654594833802431
23,549,158.0,-47.075,167.725,14.674024905776605,13.726024905776605
24,667,380.0,-47.025,167.725,14.535990198142827,12.255990198142827
25,906,112.0,-46.975,167.725,14.418432880658656,13.746432880658656
26,556,176.0,-47.075,167.775,14.52311288320925,13.46711288320925
27,562,506.0,-47.075,167.825,14.385630114586093,11.349630114586093
28,568,258.0,-47.075,167.875,14.267817287123762,12.719817287123762
29,672,192.0,-47.025,167.775,14.388650238281116,13.236650238281117
30,677,419.0,-47.025,167.825,14.253481302293949,11.73948130229395
31,682,402.0,-47.025,167.875,14.13639090070501,11.72439090070501
32,944,100.0,-46.975,167.775,14.277897247113287,13.677897247113288
33,945,218.0,-46.975,167.825,14.148761455202475,12.840761455202475
34,946,59.0,-46.975,167.875,14.0364270984428,13.682427098442801
35,950,15.0,-46.925,167.775,14.194544993457384,14.104544993457385
36,951,60.0,-46.925,167.825,14.07595169765409,13.715951697654091
37,952,262.0,-46.925,167.875,14.018,12.446000000000002
38,574,183.0,-47.075,167.925,14.176742233219557,13.078742233219556
39,580,36.0,-47.075,167.975,14.120691008865833,13.904691008865834
40,652,61.0,-47.075,168.025,14.109391238423996,13.743391238423996
41,656,65.0,-47.075,168.075,14.153446068405174,13.763446068405173
42,687,299.0,-47.025,167.925,14.0442152247997,12.2502152247997
43,692,278.0,-47.025,167.975,14.018,12.350000000000001
44,697,165.0,-47.025,168.025,14.018,13.028
45,702,107.0,-47.025,168.075,14.018,13.376000000000001
46,947,462.0,-46.975,167.975,14.018,11.246
47,948,252.0,-46.975,168.025,14.018,12.506
48,949,156.0,-46.975,168.075,14.018,13.082
49,953,274.0,-46.925,167.925,14.018,12.374
50,954,34.0,-46.925,167.975,14.018,13.814
51,662,63.0,-47.075,168.125,14.261845797416754,13.883845797416754
