Unnamed: 0,OID_,Elevation,Latitude,Longitude,Interpolated_Tmean(C),Adjusted_Tmean(C)
0,148,72.0,-47.275,167.475,11.518,11.086
1,153,244.0,-47.275,167.525,11.518,10.054
2,156,49.0,-47.225,167.475,11.518,11.224
3,165,326.0,-47.225,167.525,11.518,9.562000000000001
4,174,36.0,-47.225,167.575,11.518,11.302000000000001
5,183,127.0,-47.175,167.575,11.518,10.756
6,272,179.0,-47.175,167.625,11.518,10.444
7,278,24.0,-47.175,167.675,11.518,11.374
8,285,104.0,-47.175,167.725,11.518,10.894
9,403,141.0,-47.125,167.625,11.518,10.672
10,405,259.0,-47.125,167.675,11.518,9.964
11,413,184.0,-47.125,167.725,11.518,10.414000000000001
12,293,124.0,-47.175,167.775,11.518,10.774000000000001
13,301,165.0,-47.175,167.825,11.518,10.528
14,309,0.0,-47.175,167.875,11.518,11.518
15,415,252.0,-47.125,167.775,11.518,10.006
16,418,256.0,-47.125,167.825,11.518,9.982000000000001
17,422,293.0,-47.125,167.875,11.518,9.760000000000002
18,425,75.0,-47.125,167.925,11.518,11.068000000000001
19,430,119.0,-47.125,167.975,11.518,10.804
20,436,61.0,-47.125,168.025,11.518,11.152000000000001
21,449,204.0,-47.075,167.625,11.620308633340755,10.396308633340755
22,456,363.0,-47.075,167.675,11.522424838709412,9.344424838709411
23,549,158.0,-47.075,167.725,11.518,10.57
24,667,380.0,-47.025,167.725,11.632229002425447,9.352229002425448
25,906,112.0,-46.975,167.725,11.835988486011047,11.163988486011046
26,556,176.0,-47.075,167.775,11.518,10.462
27,562,506.0,-47.075,167.825,11.518,8.482000000000001
28,568,258.0,-47.075,167.875,11.518,9.97
29,672,192.0,-47.025,167.775,11.5380710833997,10.3860710833997
30,677,419.0,-47.025,167.825,11.518,9.004000000000001
31,682,402.0,-47.025,167.875,11.518,9.106000000000002
32,944,100.0,-46.975,167.775,11.741390229057288,11.141390229057288
33,945,218.0,-46.975,167.825,11.65031645380077,10.34231645380077
34,946,59.0,-46.975,167.875,11.563200718868757,11.209200718868757
35,950,15.0,-46.925,167.775,11.942246691818582,11.852246691818582
36,951,60.0,-46.925,167.825,11.851292838313384,11.491292838313385
37,952,262.0,-46.925,167.875,11.764872926811222,10.192872926811223
38,574,183.0,-47.075,167.925,11.518,10.42
