Unnamed: 0,OID_,Elevation,Latitude,Longitude,Interpolated_Tmean(C),Adjusted_Tmean(C)
0,148,72.0,-47.275,167.475,13.009712587343529,12.577712587343528
1,153,244.0,-47.275,167.525,12.978408460097853,11.514408460097853
2,156,49.0,-47.225,167.475,12.933037394148414,12.639037394148414
3,165,326.0,-47.225,167.525,12.899967827092041,10.943967827092042
4,174,36.0,-47.225,167.575,12.859984334660112,12.643984334660113
5,183,127.0,-47.175,167.575,12.770406069685123,12.008406069685122
6,272,179.0,-47.175,167.625,12.725970023690024,11.651970023690025
7,278,24.0,-47.175,167.675,12.682310549149406,12.538310549149406
8,285,104.0,-47.175,167.725,12.642732124455506,12.018732124455505
9,403,141.0,-47.125,167.625,12.629197954636766,11.783197954636766
10,405,259.0,-47.125,167.675,12.583006232991465,11.029006232991465
11,413,184.0,-47.125,167.725,12.540537117383792,11.436537117383793
12,293,124.0,-47.175,167.775,12.610415363975335,11.866415363975335
13,301,165.0,-47.175,167.825,12.588490613066824,11.598490613066824
14,309,0.0,-47.175,167.875,12.580039334017783,12.580039334017783
15,415,252.0,-47.125,167.775,12.50522183132125,10.99322183132125
16,418,256.0,-47.125,167.825,12.480541159355198,10.944541159355198
17,422,293.0,-47.125,167.875,12.470011319659534,10.712011319659535
18,425,75.0,-47.125,167.925,12.477142099145567,12.027142099145568
19,430,119.0,-47.125,167.975,12.505343452634406,11.791343452634406
20,436,61.0,-47.125,168.025,12.557703030455741,12.191703030455741
21,449,204.0,-47.075,167.625,12.53041817418125,11.30641817418125
22,456,363.0,-47.075,167.675,12.481532618083293,10.303532618083292
23,549,158.0,-47.075,167.725,12.435975755826803,11.487975755826803
24,667,380.0,-47.025,167.725,12.331655970221618,10.051655970221619
25,906,112.0,-46.975,167.725,12.230117708924809,11.558117708924808
26,556,176.0,-47.075,167.775,12.397366475124727,11.341366475124726
27,562,506.0,-47.075,167.825,12.369502900342923,9.333502900342923
28,568,258.0,-47.075,167.875,12.356308267946588,10.808308267946588
29,672,192.0,-47.025,167.775,12.28938124376873,11.137381243768731
30,677,419.0,-47.025,167.825,12.257903665682534,9.743903665682534
31,682,402.0,-47.025,167.875,12.241524413999286,9.829524413999287
32,944,100.0,-46.975,167.775,12.183793581149075,11.583793581149076
33,945,218.0,-46.975,167.825,12.1483478268201,10.8403478268201
34,946,59.0,-46.975,167.875,12.128476818848867,11.774476818848868
35,950,15.0,-46.925,167.775,12.08289278835582,11.992892788355821
36,951,60.0,-46.925,167.825,12.04321039460774,11.683210394607741
37,952,262.0,-46.925,167.875,12.019780372385867,10.447780372385868
38,574,183.0,-47.075,167.925,12.361799392048852,11.26379939204885
39,580,36.0,-47.075,167.975,12.390066519466927,12.174066519466928
40,652,61.0,-47.075,168.025,12.445181977789616,12.079181977789617
41,656,65.0,-47.075,168.075,12.530775192150031,12.14077519215003
42,687,299.0,-47.025,167.925,12.244692950072931,10.45069295007293
43,692,278.0,-47.025,167.975,12.272058525122702,10.604058525122703
44,697,165.0,-47.025,168.025,12.328610064578243,11.338610064578242
45,702,107.0,-47.025,168.075,12.419686038425425,11.777686038425426
46,947,462.0,-46.975,167.975,12.154995463235537,9.382995463235536
47,948,252.0,-46.975,168.025,12.211932408652501,10.6999324086525
48,949,156.0,-46.975,168.075,12.306583176497952,11.370583176497952
49,953,274.0,-46.925,167.925,12.017907836678205,10.373907836678205
50,954,34.0,-46.925,167.975,12.0430480990035,11.839048099003499
51,662,63.0,-47.075,168.125,12.648798578302376,12.270798578302376
52,767,140.0,-47.025,168.125,12.549759157787776,11.709759157787776
53,858,121.0,-47.025,168.175,12.718346008332446,11.992346008332447
54,968,161.0,-46.775,167.625,12.032135250497959,11.06613525049796
55,969,177.0,-46.775,167.725,11.891118837666,10.829118837666
56,955,228.0,-46.875,167.775,11.988550415990176,10.620550415990175
57,956,54.0,-46.875,167.825,11.94436845969176,11.62036845969176
58,957,20.0,-46.875,167.875,11.917338584229583,11.797338584229584
59,962,70.0,-46.825,167.775,11.9022180007305,11.4822180007305
60,963,19.0,-46.825,167.825,11.853192388254683,11.739192388254683
61,964,16.0,-46.825,167.875,11.822148349063355,11.726148349063354
62,970,38.0,-46.775,167.775,11.825297436807887,11.597297436807887
63,971,39.0,-46.775,167.825,11.771003369431128,11.537003369431128
64,972,96.0,-46.775,167.875,11.734836347401142,11.158836347401142
65,958,20.0,-46.875,167.925,11.913443245823146,11.793443245823147
66,959,304.0,-46.875,167.975,11.938992226641858,10.114992226641858
67,960,121.0,-46.875,168.025,12.000774963249569,11.27477496324957
68,961,112.0,-46.875,168.075,12.10670452399063,11.434704523990629
69,965,26.0,-46.825,167.925,11.815879233923624,11.659879233923624
70,966,263.0,-46.825,167.975,11.841933854913805,10.263933854913805
71,967,230.0,-46.825,168.025,11.908854663895909,10.52885466389591
72,973,238.0,-46.775,167.925,11.724304426432354,10.296304426432354
73,974,164.0,-46.775,167.975,11.74808850561385,10.76408850561385
74,975,72.0,-46.725,167.725,11.830251588544343,11.398251588544342
75,976,218.0,-46.725,167.775,11.760000558831962,10.452000558831962
76,977,149.0,-46.725,167.825,11.699932961390004,10.805932961390004
77,978,403.0,-46.725,167.875,11.65683690093283,9.238836900932831
78,979,444.0,-46.725,167.925,11.638605805565021,8.974605805565021
79,989,8.0,-46.575,168.525,13.828923783148639,13.780923783148639
80,990,7.0,-46.575,168.575,14.023621496773558,13.981621496773558
81,991,1.0,-46.575,168.625,14.198707266157726,14.192707266157726
82,992,0.0,-46.575,168.675,14.349410580238327,14.349410580238327
83,993,8.0,-46.575,168.775,14.565157230361365,14.517157230361365
84,980,20.0,-46.625,168.875,14.62928358456702,14.50928358456702
85,981,122.0,-46.625,168.925,14.611924979661126,13.879924979661126
86,982,94.0,-46.625,168.975,14.565227203594986,14.001227203594986
87,994,19.0,-46.575,168.825,14.62653115206922,14.512531152069219
88,995,39.0,-46.575,168.875,14.655534134741174,14.421534134741174
89,996,51.0,-46.575,168.925,14.651612458052114,14.345612458052114
90,997,194.0,-46.575,168.975,14.614461185454275,13.450461185454275
91,983,20.0,-46.625,169.025,14.488810456401552,14.368810456401553
92,984,141.0,-46.625,169.075,14.382655707624508,13.536655707624508
93,985,61.0,-46.625,169.125,14.247114378173137,13.881114378173137
94,998,276.0,-46.575,169.025,14.54400076973252,12.88800076973252
95,999,243.0,-46.575,169.075,14.440403717468143,12.982403717468143
96,1000,71.0,-46.575,169.125,14.30415142304264,13.87815142304264
97,29,116.0,-46.575,169.175,14.136099006427685,13.440099006427685
98,32,222.0,-46.575,169.225,13.937520468694856,12.605520468694856
99,35,45.0,-46.575,169.275,13.710095761765842,13.440095761765843
100,38,167.0,-46.575,169.325,13.45577502665401,12.453775026654009
101,986,25.0,-46.625,169.175,14.082922439687536,13.932922439687536
102,987,106.0,-46.625,169.225,13.891192135124584,13.255192135124584
103,988,60.0,-46.625,169.325,13.430879933410324,13.070879933410325
104,41,158.0,-46.575,169.375,13.176363106147619,12.228363106147619
105,43,20.0,-46.575,169.425,12.872154325406882,12.752154325406883
106,46,0.0,-46.575,169.475,12.535186092791264,12.535186092791264
107,48,16.0,-46.525,168.275,11.660458623809973,11.564458623809973
108,51,5.0,-46.525,168.325,12.011030552865122,11.981030552865123
109,54,11.0,-46.525,168.375,12.454203264642274,12.388203264642273
110,57,10.0,-46.525,168.425,12.870505269253044,12.810505269253044
111,564,13.0,-46.475,168.275,11.17176831496181,11.09376831496181
112,570,1.0,-46.475,168.375,11.828989304645802,11.822989304645802
113,576,11.0,-46.475,168.425,12.364597023857641,12.29859702385764
114,793,10.0,-46.425,168.275,10.919183736114064,10.859183736114064
115,795,0.0,-46.425,168.325,10.988604497746564,10.988604497746564
116,797,20.0,-46.425,168.375,11.463254126399988,11.343254126399989
117,799,27.0,-46.425,168.425,12.078172523892135,11.916172523892135
118,60,12.0,-46.525,168.475,13.23103347828146,13.159033478281462
119,152,13.0,-46.525,168.525,13.549683924400597,13.471683924400597
120,157,10.0,-46.525,168.575,13.829687881530845,13.769687881530844
121,582,10.0,-46.475,168.475,12.865127883851528,12.805127883851528
122,650,21.0,-46.475,168.525,13.298518200099352,13.172518200099352
123,657,20.0,-46.475,168.575,13.664991828496568,13.544991828496569
124,801,30.0,-46.425,168.475,12.658561422431376,12.478561422431376
125,803,32.0,-46.425,168.525,13.162184208165854,12.970184208165854
126,805,40.0,-46.425,168.575,13.584951084339991,13.344951084339991
127,166,20.0,-46.525,168.625,14.070637599375914,13.950637599375915
128,175,10.0,-46.525,168.675,14.272145733775687,14.212145733775687
129,184,10.0,-46.525,168.725,14.43432270269841,14.374322702698409
130,267,22.0,-46.525,168.775,14.557588642201154,14.425588642201154
131,665,30.0,-46.475,168.625,13.97019154348527,13.790191543485271
132,670,25.0,-46.475,168.675,14.219662170668016,14.069662170668016
133,675,10.0,-46.475,168.725,14.4179747698945,14.357974769894499
134,680,41.0,-46.475,168.775,14.56868676013255,14.32268676013255
135,807,39.0,-46.425,168.625,13.933512595540378,13.699512595540378
136,809,48.0,-46.425,168.675,14.216029635426821,13.928029635426821
137,811,43.0,-46.425,168.725,14.439580821999698,14.181580821999699
138,813,13.0,-46.425,168.775,14.609676008112729,14.53167600811273
139,271,25.0,-46.525,168.825,14.64245426938578,14.49245426938578
140,276,43.0,-46.525,168.875,14.689384725366835,14.431384725366836
141,282,101.0,-46.525,168.925,14.698746272639255,14.092746272639255
142,290,197.0,-46.525,168.975,14.670818327285815,13.488818327285815
143,685,61.0,-46.475,168.825,14.674453437823104,14.308453437823104
144,690,60.0,-46.475,168.875,14.737166114631691,14.377166114631692
145,695,171.0,-46.475,168.925,14.758095227443846,13.732095227443846
146,700,258.0,-46.475,168.975,14.738039569201646,13.190039569201646
147,815,79.0,-46.425,168.825,14.730358644024818,14.256358644024818
148,817,99.0,-46.425,168.875,14.80443760244816,14.210437602448161
149,820,122.0,-46.425,168.925,14.833725022414,14.101725022414001
150,822,367.0,-46.425,168.975,14.819260721706087,12.617260721706087
151,298,89.0,-46.525,169.025,14.605855487461668,14.071855487461667
152,306,82.0,-46.525,169.075,14.504186836929875,14.012186836929876
153,416,59.0,-46.525,169.125,14.366338327352423,14.012338327352424
154,769,441.0,-46.475,169.025,14.677488160668872,12.031488160668872
155,770,336.0,-46.475,169.075,14.576799651695183,12.560799651695183
156,771,310.0,-46.475,169.125,14.436396783785312,12.576396783785313
157,859,88.0,-46.425,169.025,14.7615344239166,14.2335344239166
158,860,116.0,-46.425,169.075,14.660722180080484,13.964722180080484
159,862,116.0,-46.425,169.125,14.516945761948591,13.820945761948591
160,419,100.0,-46.525,169.175,14.193157888235874,13.593157888235874
161,421,237.0,-46.525,169.225,13.98591238638619,12.563912386386189
162,424,404.0,-46.525,169.275,13.746308879504795,11.322308879504796
163,427,301.0,-46.525,169.325,13.476356770508573,11.670356770508574
164,772,284.0,-46.475,169.175,14.256960369821172,12.552960369821172
165,773,237.0,-46.475,169.225,14.039589587802766,12.617589587802765
166,774,123.0,-46.475,169.275,13.785875972957001,13.047875972957002
167,776,504.0,-46.475,169.325,13.497824030928314,10.473824030928313
168,863,432.0,-46.425,169.175,14.330546341094305,11.738546341094304
169,865,253.0,-46.425,169.225,14.102340203811764,12.584340203811763
170,867,408.0,-46.425,169.275,13.833806569091394,11.385806569091393
171,869,458.0,-46.425,169.325,13.527174788774573,10.779174788774574
172,435,73.0,-46.525,169.375,13.177874947257806,12.739874947257805
173,440,20.0,-46.525,169.425,12.851163292565616,12.731163292565617
174,443,20.0,-46.525,169.475,12.495401711799786,12.375401711799787
175,778,316.0,-46.475,169.375,13.17758755981049,11.28158755981049
176,780,317.0,-46.475,169.425,12.827405354721122,10.925405354721123
177,782,286.0,-46.475,169.475,12.451615814657998,10.735615814657999
178,871,425.0,-46.425,169.375,13.185493730503367,10.635493730503367
179,873,375.0,-46.425,169.425,12.813061646345886,10.563061646345886
180,875,342.0,-46.425,169.475,12.416754545018193,10.364754545018194
181,450,131.0,-46.525,169.525,12.121458195979358,11.335458195979358
182,457,60.0,-46.525,169.575,11.748183126794174,11.388183126794175
183,546,202.0,-46.525,169.625,11.391615806292975,10.179615806292976
184,552,99.0,-46.525,169.675,11.065118679922307,10.471118679922307
185,784,324.0,-46.475,169.525,12.060885740924277,10.116885740924278
186,785,58.0,-46.475,169.575,11.671269570986624,11.323269570986623
187,787,13.0,-46.475,169.625,11.299778867163695,11.221778867163696
188,789,20.0,-46.475,169.675,10.962349930559867,10.842349930559868
189,877,382.0,-46.425,169.525,12.007581899582874,9.715581899582874
190,879,59.0,-46.425,169.575,11.600507667142665,11.246507667142666
191,881,20.0,-46.425,169.625,11.212915224765311,11.092915224765312
192,883,63.0,-46.425,169.675,10.863274351038854,10.485274351038854
193,791,8.0,-46.475,169.725,10.672229443996912,10.624229443996912
194,938,107.0,-46.425,169.725,10.568914019109798,9.926914019109798
195,939,85.0,-46.425,169.775,10.340863417775836,9.830863417775836
196,21,24.0,-46.225,166.975,12.137591679864272,11.993591679864272
