Unnamed: 0,OID_,Elevation,Latitude,Longitude,Interpolated_Tmean(C),Adjusted_Tmean(C)
0,148,72.0,-47.275,167.475,11.933013120171381,11.50101312017138
1,153,244.0,-47.275,167.525,11.972093239062815,10.508093239062815
2,156,49.0,-47.225,167.475,11.9980885382829,11.7040885382829
3,165,326.0,-47.225,167.525,12.03751351822575,10.081513518225751
4,174,36.0,-47.225,167.575,12.069997097889427,11.853997097889428
5,183,127.0,-47.175,167.575,12.125180657021701,11.3631806570217
6,272,179.0,-47.175,167.625,12.153133615232946,11.079133615232946
7,278,24.0,-47.175,167.675,12.177301094605355,12.033301094605354
8,285,104.0,-47.175,167.725,12.198490642796969,11.574490642796968
9,403,141.0,-47.125,167.625,12.199602063541533,11.353602063541533
10,405,259.0,-47.125,167.675,12.224144531443017,10.670144531443016
11,413,184.0,-47.125,167.725,12.245937678933842,11.141937678933843
12,293,124.0,-47.175,167.775,12.217228158537182,11.473228158537182
13,301,165.0,-47.175,167.825,12.233801018359372,11.243801018359372
14,309,0.0,-47.175,167.875,12.248272993980208,12.248272993980208
15,415,252.0,-47.125,167.775,12.265593930831528,10.753593930831528
16,418,256.0,-47.125,167.825,12.283497287804494,10.747497287804494
17,422,293.0,-47.125,167.875,12.299797820051026,10.541797820051027
18,425,75.0,-47.125,167.925,12.314396553119877,11.864396553119878
19,430,119.0,-47.125,167.975,12.32692697573657,11.612926975736569
20,436,61.0,-47.125,168.025,12.336745724773209,11.97074572477321
21,449,204.0,-47.075,167.625,12.238042705270345,11.014042705270345
22,456,363.0,-47.075,167.675,12.26243652618723,10.084436526187229
23,549,158.0,-47.075,167.725,12.284377799500362,11.336377799500362
24,667,380.0,-47.025,167.725,12.314488708339923,10.034488708339923
25,906,112.0,-46.975,167.725,12.337071393543738,11.665071393543737
26,556,176.0,-47.075,167.775,12.304542917619983,11.248542917619982
27,562,506.0,-47.075,167.825,12.323414658225374,9.287414658225375
28,568,258.0,-47.075,167.875,12.341250249446603,10.793250249446602
29,672,192.0,-47.025,167.775,12.334487227213685,11.182487227213686
30,677,419.0,-47.025,167.825,12.35369549212919,9.839695492129191
31,682,402.0,-47.025,167.875,12.372500778430549,9.96050077843055
32,944,100.0,-46.975,167.775,12.3559806902922,11.7559806902922
33,945,218.0,-46.975,167.825,12.374615061446093,11.066615061446093
34,946,59.0,-46.975,167.875,12.393516970114433,12.039516970114434
35,950,15.0,-46.925,167.775,12.369755009211076,12.279755009211076
36,951,60.0,-46.925,167.825,12.386634933449386,12.026634933449387
37,952,262.0,-46.925,167.875,12.404434700554702,10.832434700554703
38,574,183.0,-47.075,167.925,12.358044288957899,11.260044288957898
39,580,36.0,-47.075,167.975,12.373485809883277,12.157485809883278
40,652,61.0,-47.075,168.025,12.386919496369956,12.020919496369956
41,656,65.0,-47.075,168.075,12.397337707996485,12.007337707996484
42,687,299.0,-47.025,167.925,12.391031586113968,10.597031586113967
43,692,278.0,-47.025,167.975,12.40908670835779,10.741086708357791
44,697,165.0,-47.025,168.025,12.426053946983302,11.436053946983302
45,702,107.0,-47.025,168.075,12.440841632625961,11.798841632625962
46,947,462.0,-46.975,167.975,12.433025389444083,9.661025389444083
47,948,252.0,-46.975,168.025,12.453138428732927,10.941138428732927
48,949,156.0,-46.975,168.075,12.472248953898088,11.536248953898088
49,953,274.0,-46.925,167.925,12.42368185754458,10.77968185754458
50,954,34.0,-46.925,167.975,12.444603964155249,12.240603964155248
51,662,63.0,-47.075,168.125,12.403448455625039,12.025448455625039
52,767,140.0,-47.025,168.125,12.451911880401894,11.611911880401895
53,858,121.0,-47.025,168.175,12.457548753882293,11.731548753882294
54,968,161.0,-46.775,167.625,12.368672894845076,11.402672894845077
55,969,177.0,-46.775,167.725,12.37445716613729,11.31245716613729
56,955,228.0,-46.875,167.775,12.376782966624887,11.008782966624887
57,956,54.0,-46.875,167.825,12.390487527482037,12.066487527482037
58,957,20.0,-46.875,167.875,12.40567304087017,12.28567304087017
59,962,70.0,-46.825,167.775,12.378353613639774,11.958353613639774
60,963,19.0,-46.825,167.825,12.387276447283512,12.27327644728351
61,964,16.0,-46.825,167.875,12.398071538627846,12.302071538627846
62,970,38.0,-46.775,167.775,12.376143238121585,12.148143238121586
63,971,39.0,-46.775,167.825,12.378573270820198,12.144573270820198
64,972,96.0,-46.775,167.875,12.383019802327908,11.807019802327908
65,958,20.0,-46.875,167.925,12.423115167024662,12.303115167024663
66,959,304.0,-46.875,167.975,12.443338846118422,10.619338846118422
67,960,121.0,-46.875,168.025,12.466447795442946,11.740447795442947
68,961,112.0,-46.875,168.075,12.491863407281926,11.819863407281925
69,965,26.0,-46.825,167.925,12.411778640882403,12.255778640882403
70,966,263.0,-46.825,167.975,12.429262695244688,10.851262695244689
71,967,230.0,-46.825,168.025,12.451030320262362,11.071030320262363
72,973,238.0,-46.775,167.925,12.390786635813129,10.962786635813128
73,974,164.0,-46.775,167.975,12.403119353162765,11.419119353162765
74,975,72.0,-46.725,167.725,12.37847963400418,11.946479634004179
75,976,218.0,-46.725,167.775,12.372268050567072,11.064268050567073
76,977,149.0,-46.725,167.825,12.36649628412124,11.47249628412124
77,978,403.0,-46.725,167.875,12.362567134172423,9.944567134172424
78,979,444.0,-46.725,167.925,12.362015440157847,9.698015440157848
79,989,8.0,-46.575,168.525,12.358673668371921,12.310673668371921
80,990,7.0,-46.575,168.575,12.32120752789342,12.279207527893421
81,991,1.0,-46.575,168.625,12.280967745478847,12.274967745478847
82,992,0.0,-46.575,168.675,12.239050880823925,12.239050880823925
83,993,8.0,-46.575,168.775,12.152518087124918,12.104518087124918
84,980,20.0,-46.625,168.875,12.012062522990163,11.892062522990164
85,981,122.0,-46.625,168.925,11.94926165844663,11.217261658446631
86,982,94.0,-46.625,168.975,11.884452375146793,11.320452375146793
87,994,19.0,-46.575,168.825,12.108323186657799,11.994323186657798
88,995,39.0,-46.575,168.875,12.063250983825128,11.829250983825128
89,996,51.0,-46.575,168.925,12.016659949535097,11.710659949535097
90,997,194.0,-46.575,168.975,11.967571504785155,10.803571504785156
91,983,20.0,-46.625,169.025,11.816646702893195,11.696646702893196
92,984,141.0,-46.625,169.075,11.744842767242517,10.898842767242517
93,985,61.0,-46.625,169.125,11.668182988345507,11.302182988345507
94,998,276.0,-46.575,169.025,11.91476212865382,10.258762128653819
95,999,243.0,-46.575,169.075,11.856919712794479,10.398919712794479
96,1000,71.0,-46.575,169.125,11.792846457014093,11.366846457014093
97,29,116.0,-46.575,169.175,11.721683281146397,11.025683281146398
98,32,222.0,-46.575,169.225,11.643133751676942,10.311133751676941
99,35,45.0,-46.575,169.275,11.55767880458734,11.28767880458734
100,38,167.0,-46.575,169.325,11.466802300623385,10.464802300623385
101,986,25.0,-46.625,169.175,11.586131962430954,11.436131962430954
102,987,106.0,-46.625,169.225,11.498662700010755,10.862662700010755
103,988,60.0,-46.625,169.325,11.311122431339754,10.951122431339755
104,41,158.0,-46.575,169.375,11.37332497935131,10.42532497935131
105,43,20.0,-46.575,169.425,11.282317352648533,11.162317352648534
106,46,0.0,-46.575,169.475,11.25,11.25
107,48,16.0,-46.525,168.275,12.068726253120985,11.972726253120985
108,51,5.0,-46.525,168.325,12.130549153072934,12.100549153072935
109,54,11.0,-46.525,168.375,12.200461407868715,12.134461407868715
110,57,10.0,-46.525,168.425,12.243509997781075,12.183509997781075
111,564,13.0,-46.475,168.275,11.87190431268391,11.79390431268391
112,570,1.0,-46.475,168.375,11.988082020616275,11.982082020616275
113,576,11.0,-46.475,168.425,12.064042451493151,11.99804245149315
114,793,10.0,-46.425,168.275,11.715986282863014,11.655986282863013
115,795,0.0,-46.425,168.325,11.729317603327218,11.729317603327218
116,797,20.0,-46.425,168.375,11.82255715104111,11.70255715104111
117,799,27.0,-46.425,168.425,11.922813416298595,11.760813416298594
118,60,12.0,-46.525,168.475,12.259411503750016,12.187411503750017
119,152,13.0,-46.525,168.525,12.259798032064282,12.181798032064282
120,157,10.0,-46.525,168.575,12.250799657318566,12.190799657318566
121,582,10.0,-46.475,168.475,12.12023072574084,12.060230725740839
122,650,21.0,-46.475,168.525,12.157151880048332,12.031151880048332
123,657,20.0,-46.475,168.575,12.179436329788587,12.059436329788587
124,801,30.0,-46.425,168.475,12.008145723622874,11.828145723622875
125,803,32.0,-46.425,168.525,12.07430649665912,11.882306496659119
126,805,40.0,-46.425,168.575,12.123536580496875,11.883536580496875
127,166,20.0,-46.525,168.625,12.235592670520418,12.115592670520419
128,175,10.0,-46.525,168.675,12.216176819572865,12.156176819572865
129,184,10.0,-46.525,168.725,12.193958655341703,12.133958655341702
130,267,22.0,-46.525,168.775,12.169904718903126,12.037904718903127
131,665,30.0,-46.475,168.625,12.191195026804053,12.011195026804053
132,670,25.0,-46.475,168.675,12.19559445201594,12.045594452015939
133,675,10.0,-46.475,168.725,12.195054922405689,12.135054922405688
134,680,41.0,-46.475,168.775,12.19137101045635,11.94537101045635
135,807,39.0,-46.425,168.625,12.159556722333946,11.925556722333946
136,809,48.0,-46.425,168.675,12.185959667382122,11.897959667382121
137,811,43.0,-46.425,168.725,12.205840310809435,11.947840310809436
138,813,13.0,-46.425,168.775,12.221708025455882,12.143708025455883
139,271,25.0,-46.525,168.825,12.144534861625289,11.994534861625288
140,276,43.0,-46.525,168.875,12.11786361146369,11.859863611463691
141,282,101.0,-46.525,168.925,12.089356406730076,11.483356406730076
142,290,197.0,-46.525,168.975,12.057952167313488,10.875952167313487
143,685,61.0,-46.475,168.825,12.18570373213879,11.819703732138791
144,690,60.0,-46.475,168.875,12.17849669221323,11.81849669221323
145,695,171.0,-46.475,168.925,12.169395707678632,11.143395707678632
146,700,258.0,-46.475,168.975,12.157257452599879,10.609257452599879
147,815,79.0,-46.425,168.825,12.235374385265459,11.761374385265459
148,817,99.0,-46.425,168.875,12.247763972991379,11.65376397299138
149,820,122.0,-46.425,168.925,12.258723143801035,11.526723143801036
150,822,367.0,-46.425,168.975,12.26696626789635,10.06496626789635
151,298,89.0,-46.525,169.025,12.022181438253028,11.488181438253028
152,306,82.0,-46.525,169.075,11.980377716390649,11.48837771639065
153,416,59.0,-46.525,169.125,11.930952366325073,11.576952366325074
154,769,441.0,-46.475,169.025,12.140302405823604,9.494302405823603
155,770,336.0,-46.475,169.075,12.116408185211185,10.100408185211185
156,771,310.0,-46.475,169.125,12.083489630756958,10.223489630756958
157,859,88.0,-46.425,169.025,12.270263444122975,11.742263444122974
158,860,116.0,-46.425,169.075,12.26585383724887,11.56985383724887
