,OID_,Elevation,Latitude,Longitude
187,787,13.0,-46.475,169.625
188,789,20.0,-46.475,169.675
189,877,382.0,-46.425,169.525
190,879,59.0,-46.425,169.575
191,881,20.0,-46.425,169.625
192,883,63.0,-46.425,169.675
193,791,8.0,-46.475,169.725
194,938,107.0,-46.425,169.725
195,939,85.0,-46.425,169.775
196,21,24.0,-46.225,166.975
197,22,20.0,-46.225,167.025
198,23,95.0,-46.225,167.075
199,24,96.0,-46.225,167.125
200,26,140.0,-46.225,167.175
201,27,73.0,-46.225,167.225
202,31,78.0,-46.225,167.275
203,34,239.0,-46.225,167.325
204,37,49.0,-46.225,167.675
205,42,169.0,-46.225,167.725
206,572,37.0,-46.325,167.725
207,625,0.0,-46.275,167.725
208,47,99.0,-46.225,167.775
209,50,513.0,-46.225,167.825
210,53,419.0,-46.225,167.875
211,578,20.0,-46.325,167.775
212,584,23.0,-46.325,167.825
213,585,205.0,-46.325,167.875
214,626,96.0,-46.275,167.775
215,627,583.0,-46.275,167.825
216,628,180.0,-46.275,167.875
217,940,42.0,-46.375,167.775
218,941,36.0,-46.375,167.875
219,56,60.0,-46.225,167.925
220,59,95.0,-46.225,167.975
221,62,59.0,-46.225,168.025
222,63,39.0,-46.225,168.075
223,586,39.0,-46.325,167.925
224,587,23.0,-46.325,167.975
225,588,9.0,-46.325,168.025
226,589,11.0,-46.325,168.075
227,629,80.0,-46.275,167.925
228,630,22.0,-46.275,167.975
229,631,40.0,-46.275,168.025
230,632,20.0,-46.275,168.075
231,942,0.0,-46.375,167.975
232,64,47.0,-46.225,168.125
233,65,39.0,-46.225,168.175
234,66,47.0,-46.225,168.225
235,129,3.0,-46.375,168.225
236,590,9.0,-46.325,168.125
237,591,11.0,-46.325,168.175
238,592,15.0,-46.325,168.225
239,633,40.0,-46.275,168.125
240,634,23.0,-46.275,168.175
241,635,30.0,-46.275,168.225
242,943,2.0,-46.375,168.175
243,67,34.0,-46.225,168.275
244,68,39.0,-46.225,168.325
245,69,40.0,-46.225,168.375
246,70,95.0,-46.225,168.425
247,130,4.0,-46.375,168.275
248,131,10.0,-46.375,168.325
249,132,11.0,-46.375,168.375
250,133,21.0,-46.375,168.425
251,593,10.0,-46.325,168.275
252,594,9.0,-46.325,168.325
253,595,20.0,-46.325,168.375
254,596,20.0,-46.325,168.425
255,636,13.0,-46.275,168.275
256,637,26.0,-46.275,168.325
257,638,27.0,-46.275,168.375
258,639,23.0,-46.275,168.425
259,71,37.0,-46.225,168.475
260,72,37.0,-46.225,168.525
261,73,69.0,-46.225,168.575
262,134,24.0,-46.375,168.475
263,135,31.0,-46.375,168.525
264,136,41.0,-46.375,168.575
265,597,39.0,-46.325,168.475
266,598,44.0,-46.325,168.525
267,599,53.0,-46.325,168.575
268,640,41.0,-46.275,168.475
269,641,58.0,-46.275,168.525
270,642,83.0,-46.275,168.575
271,74,92.0,-46.225,168.625
272,75,102.0,-46.225,168.675
273,76,120.0,-46.225,168.725
274,77,122.0,-46.225,168.775
275,137,56.0,-46.375,168.625
276,138,60.0,-46.375,168.675
277,151,39.0,-46.375,168.725
278,154,21.0,-46.375,168.775
279,600,60.0,-46.325,168.625
280,601,67.0,-46.325,168.675
281,602,66.0,-46.325,168.725
282,603,33.0,-46.325,168.775
283,643,60.0,-46.275,168.625
284,644,61.0,-46.275,168.675
285,645,80.0,-46.275,168.725
286,646,54.0,-46.275,168.775
287,1,205.0,-46.275,168.975
288,78,41.0,-46.225,168.825
289,79,208.0,-46.225,168.875
290,80,302.0,-46.225,168.925
291,81,179.0,-46.225,168.975
292,162,68.0,-46.375,168.825
293,171,101.0,-46.375,168.875
294,180,63.0,-46.375,168.925
295,274,101.0,-46.375,168.975
296,604,22.0,-46.325,168.825
297,605,41.0,-46.325,168.875
298,606,60.0,-46.325,168.925
299,607,106.0,-46.325,168.975
300,647,35.0,-46.275,168.825
301,648,84.0,-46.275,168.875
302,649,219.0,-46.275,168.925
303,2,258.0,-46.275,169.025
304,3,230.0,-46.275,169.075
305,4,285.0,-46.275,169.125
306,82,409.0,-46.225,169.025
307,83,284.0,-46.225,169.075
308,84,225.0,-46.225,169.125
309,280,128.0,-46.375,169.025
310,288,307.0,-46.375,169.075
311,296,120.0,-46.375,169.125
312,608,399.0,-46.325,169.025
313,609,474.0,-46.325,169.075
314,610,625.0,-46.325,169.125
315,5,382.0,-46.275,169.175
316,6,232.0,-46.275,169.225
317,7,258.0,-46.275,169.275
318,8,345.0,-46.275,169.325
319,85,377.0,-46.225,169.175
320,86,200.0,-46.225,169.225
321,87,222.0,-46.225,169.275
322,88,256.0,-46.225,169.325
323,304,211.0,-46.375,169.175
324,409,378.0,-46.375,169.225
325,428,488.0,-46.375,169.275
326,441,263.0,-46.375,169.325
327,611,293.0,-46.325,169.175
328,612,212.0,-46.325,169.225
329,613,243.0,-46.325,169.275
330,614,419.0,-46.325,169.325
331,9,318.0,-46.275,169.375
332,10,292.0,-46.275,169.425
333,11,507.0,-46.275,169.475
334,89,296.0,-46.225,169.375
335,90,118.0,-46.225,169.425
336,91,97.0,-46.225,169.475
337,444,218.0,-46.375,169.375
338,451,662.0,-46.375,169.425
339,458,112.0,-46.375,169.475
340,615,339.0,-46.325,169.375
341,616,406.0,-46.325,169.425
342,617,402.0,-46.325,169.475
343,12,328.0,-46.275,169.525
344,13,115.0,-46.275,169.575
345,14,40.0,-46.275,169.625
346,15,36.0,-46.275,169.675
347,92,60.0,-46.225,169.525
348,93,60.0,-46.225,169.575
349,94,61.0,-46.225,169.625
350,95,83.0,-46.225,169.675
351,544,295.0,-46.375,169.525
352,547,452.0,-46.375,169.575
353,550,200.0,-46.375,169.625
354,553,100.0,-46.375,169.675
355,618,304.0,-46.325,169.525
356,619,124.0,-46.325,169.575
357,620,195.0,-46.325,169.625
358,621,40.0,-46.325,169.675
359,16,36.0,-46.275,169.725
360,17,7.0,-46.275,169.775
361,18,10.0,-46.275,169.825
362,96,18.0,-46.225,169.725
363,97,81.0,-46.225,169.775
364,98,1.0,-46.225,169.825
365,560,146.0,-46.375,169.725
366,566,20.0,-46.375,169.775
367,622,19.0,-46.325,169.725
368,623,12.0,-46.325,169.775
369,624,5.0,-46.325,169.825
370,19,74.0,-46.275,169.875
371,20,44.0,-46.275,169.925
372,99,99.0,-46.225,169.875
373,100,111.0,-46.225,169.925
374,101,68.0,-46.225,169.975
375,102,17.0,-46.225,170.025
376,314,198.0,-46.075,166.575
377,384,239.0,-46.025,166.625
378,710,82.0,-46.125,166.625
379,103,44.0,-46.175,166.675
380,104,298.0,-46.175,166.725
381,105,209.0,-46.175,166.775
382,106,406.0,-46.175,166.825
383,315,504.0,-46.075,166.775
384,316,600.0,-46.075,166.825
385,385,500.0,-46.025,166.675
386,386,11.0,-46.025,166.775
387,387,312.0,-46.025,166.825
388,711,298.0,-46.125,166.725
389,712,502.0,-46.125,166.775
390,713,236.0,-46.125,166.825
391,107,251.0,-46.175,166.875
392,108,280.0,-46.175,166.925
393,109,439.0,-46.175,166.975
394,317,554.0,-46.075,166.875
395,318,854.0,-46.075,166.925
396,319,183.0,-46.075,166.975
397,388,696.0,-46.025,166.875
398,389,939.0,-46.025,166.925
399,390,578.0,-46.025,166.975
400,714,546.0,-46.125,166.875
401,715,587.0,-46.125,166.925
402,716,57.0,-46.125,166.975
403,110,418.0,-46.175,167.025
404,111,175.0,-46.175,167.075
405,112,227.0,-46.175,167.125
406,113,481.0,-46.175,167.175
407,320,899.0,-46.075,167.025
408,321,687.0,-46.075,167.075
409,322,750.0,-46.075,167.125
410,323,363.0,-46.075,167.175
411,391,427.0,-46.025,167.025
412,392,367.0,-46.025,167.075
413,393,30.0,-46.025,167.125
414,394,671.0,-46.025,167.175
415,717,718.0,-46.125,167.025
416,718,584.0,-46.125,167.075
417,719,30.0,-46.125,167.125
418,720,214.0,-46.125,167.175
419,114,100.0,-46.175,167.225
420,115,223.0,-46.175,167.275
421,116,396.0,-46.175,167.325
422,324,489.0,-46.075,167.225
423,325,179.0,-46.075,167.275
424,326,408.0,-46.075,167.325
425,395,735.0,-46.025,167.225
426,396,378.0,-46.025,167.275
427,397,189.0,-46.025,167.325
428,721,322.0,-46.125,167.225
429,722,228.0,-46.125,167.275
430,723,801.0,-46.125,167.325
431,25,170.0,-46.025,167.475
432,28,177.0,-46.025,167.525
433,117,57.0,-46.175,167.375
434,327,230.0,-46.075,167.375
435,328,451.0,-46.075,167.425
