Name,Agent Number,Network Number,Latitude,Longitude,Height,Posn_Precision,Observing Authority
"North Shore, Auckland Regional Council",12328,A64775,-36.786,174.736,20,T,N/A
"Lincoln Rd, Auckland Regional Council",22166,A64866,-36.869,174.629,25,T,N/A
Leeston Raws,39066,H32735,-43.762,172.305,15,G,N/A
Castlepoint Station,9874,D06821,-40.8998,176.2189,10,H,N/A
Waione Raws,12636,D06433,-40.453,176.308,48,T,N/A
"Pakuranga, Auckland Regional Council",22167,C64986,-36.907,174.893,15,T,N/A
"Penrose Ews, Auckland Regional Council",22254,C64987,-36.904,174.816,30,G,N/A
"Otamatuna, Te Mapou Hut Cws",37239,B87314,-38.33334,177.16288,624,H,Niwa
"Auckland, Ardmore",1965,C74091,-37.03402,174.96394,23,H,N/A
Alfredton Raws,31851,D05685,-40.68,175.858,240,G,N/A
Riversdale Aquifer @ York Road,38645,I58973,-45.904,168.739,125,G,N/A
Naseby Forest 2,5258,I50013,-45.028,170.142,607,G,N/A
Taumarunui,2250,C85821,-38.88784,175.25981,171,H,N/A
Napier Nelson Pk,2997,D96591,-39.49846,176.91189,7,H,N/A
Waikeria 2,2197,C85132,-38.091,175.39,46,T,N/A
Franz Josef,4060,F30312,-43.394,170.181,155,G,N/A
Te Puke Ews,12428,B76838,-37.82274,176.32072,123,H,N/A
Tauranga Aero Aws,1615,B76624,-37.675,176.192,2,G,Metservice
Taupo Aero Aws,1858,B86704,-38.74252,176.08105,402,H,Metservice
Takaka Ews,23849,F02885,-40.86364,172.80568,20,H,Niwa
Stratford Ews,23872,E94334,-39.33546,174.30502,280,H,Niwa
Te Kuiti Ews,23899,C85316,-38.33174,175.15356,61,H,Niwa
Takapau Plains Aws,25820,D06024,-40.04188,176.26855,346,H,Metservice
Stephens Island Aws,26169,G04602,-40.66511,173.99969,188,H,Metservice
Tarapounamu Ews,26719,B86682,-38.61841,176.87388,701,H,Niwa
Taumarunui Aws,35135,C85835,-38.8873,175.33255,186,H,Metservice
Sugar Loaf Aws,35136,H32669,-43.60369,172.64928,496,H,Metservice
Timaru Ews,35703,H41425,-44.40882,171.25434,17,H,Niwa
Tolaga Bay Wxt Aws,37836,D88332,-38.38228,178.30785,15,H,Metservice
Taumarunui Ews,40983,C85826,-38.86145,175.23805,170,H,Niwa
Te Anau At Park Hq Cws,41064,I57477,-45.422,167.718,204,G,Niwa
Stewart Island Ews,44761,I68915,-46.90051,168.12851,3,H,Niwa
Timaru Aero Aws,5086,H41325,-44.30517,171.22141,27,H,Metservice
Tara Hills Aws,5212,I49592,-44.526,169.889,485,G,Metservice
Tiwai Point Ews,5823,I68533,-46.587,168.376,5,G,N/A
"Dunedin, Musselburgh Ews",15752,I50954,-45.90129,170.5147,4,H,Niwa
Dargaville 2 Ews,25119,A53987,-35.93145,173.85317,66,H,Niwa
Dannevirke Ews,26958,D06214,-40.20812,176.11026,207,H,Niwa
Diamond Harbour Ews,40985,H32674,-43.63312,172.72808,122,H,Niwa
Dunedin Aero Aws,7339,I50922,-45.92675,170.19684,2,H,Metservice
Wallaceville Ews,17029,E1510G,-41.1354,175.05275,56,H,Niwa
"Musick Pt Ews, Auckland Regional Council",18195,A64894,-36.85,174.901,18,G,N/A
Greymouth Aero,3950,F21422,-42.462,171.191,4,G,N/A
Lyttelton Harbour,4903,H32671,-43.608,172.724,5,T,N/A
Dannevirke,2534,D06212,-40.21,176.109,207,G,N/A
"Darfield, Forest Plains Raws",39063,H32403,-43.47962,172.08417,212,H,N/A
Opotiki,1874,B87023,-38.00638,177.28706,5,H,N/A
Darfield,4836,H32412,-43.493,172.137,195,G,N/A
"Awatere Valley, Dashwood Raws",18468,G14604,-41.64724,174.07274,83,H,N/A
Wakanui Cws,38974,H31984,-43.97167,171.81097,53,H,Niwa
Blackball,31871,F21343,-42.36711,171.41267,35,H,N/A
Arapito,3846,F12213,-41.271,172.156,18,G,N/A
Craigieburn Forest,4651,H31172,-43.154,171.714,914,G,N/A
Clyde Ews,12431,I59239,-45.20724,169.31478,171,H,N/A
Murchison Raws,16826,F12839,-41.805,172.324,185,T,N/A
Rock And Pillar Raws,24998,I50321,-45.38806,170.20528,270,H,N/A
St Arnaud Raws,31850,F12885,-41.80779,172.84213,634,H,N/A
"Hororata, Illana",10617,H31594,-43.52822,171.94615,196,H,N/A
"Onehunga, Auckland Regional Council",12326,A64981,-36.93,174.801,5,G,N/A
Waiouru Aws,3632,E95467,-39.472,175.682,820,G,Metservice
"Leeston, Harts Creek Cws",37332,H32734,-43.789,172.312,12,G,Niwa
"Takaka, Kotinga 2",3789,F02883,-40.882,172.801,25,G,N/A
"Wiri, Auckland Regional Council",12325,C64985,-36.993,174.87,18,T,N/A
"Henderson, Auckland Regional Council",12327,A64865,-36.86261,174.63189,35,H,N/A
Maud Island,13585,G13083,-41.025,173.896,15,T,N/A
"Khyber Pass, Auckland Regional Council",22164,A6487B,-36.86813,174.77063,81,H,N/A
Darfield Ews,17609,H32416,-43.496,172.15,190,T,N/A
"St Bathans, Post Office",18225,I49884,-44.87336,169.81084,585,H,N/A
Lower Retaruke,2333,C95022,-39.07674,175.19649,219,H,N/A
"Kumeu Ews, Auckland Regional Council",26492,A64756,-36.77822,174.5574,16,H,N/A
Tauranga Aerodrome,1614,B76623,-37.67239,176.19671,4,H,N/A
Wanaka Airport,25480,I49724,-44.725,169.243,348,G,N/A
Ohakea Aero,3206,E05231,-40.201,175.373,48,G,Metservice
Culverden,4527,H22783,-42.77382,172.85112,178,H,N/A
Woodbury 2,7727,H41025,-44.0353,171.20693,195,H,N/A
"Wellington, Kelburn Aws",25354,E1427P,-41.28445,174.76794,125,H,Metservice
Turangi 2 Ews,25643,C85977,-38.97352,175.7908,360,H,Niwa
Waipara West Ews,26607,H32063,-43.07026,172.65344,130,H,Niwa
"Wairoa, North Clyde Ews",3126,D97045,-39.02932,177.42952,15,H,Niwa
Waipawa Ews,31620,D96962,-39.9515,176.61706,130,H,Niwa
Wanganui 2 Aws,31830,E95909,-39.93,175.035,18,T,Metservice
Wellington Aero,3445,E14387,-41.322,174.804,4,G,N/A
Waimate Cws,36914,H41702,-44.74127,171.0631,39,H,Niwa
Upper Rakaia Ews,38225,H30291,-43.29206,170.99523,1752,H,Niwa
Waiouru Aero Aws,39148,E95468,-39.44626,175.65786,820,H,Metservice
"Upper Hutt, Trentham Ews",40750,E1510M,-41.14027,175.04283,50,H,Niwa
"Wellington, Greta Point Cws",41212,E1438H,-41.30243,174.80574,3,H,Niwa
Wanaka Cws,41237,I49614,-44.69965,169.14273,331,H,Niwa
Waiouru Ews,41329,E95469,-39.46274,175.66306,803,H,Niwa
Wairoa Aero Aws,41485,D97046,-39.01654,177.40353,13,H,Metservice
Tapanui Ews,44640,I59923,-45.944,169.257,180,H,Niwa
Tautuku Ews,44762,I69545,-46.57617,169.44386,25,H,Niwa
Westport Aero Aws,7342,F11754,-41.73202,171.58525,5,H,Metservice
Wanaka Aero Aws,7426,I49723,-44.722,169.244,352,G,Metservice
